16,16,16,0 Black,CM 5-Point Luminance
60,60,60,20 Gray,
104,104,104,40 Gray,
147,147,147,60 Gray,
191,191,191,80 Gray,
235,235,235,100 White,
60,16,16,20 Red,
104,16,16,40 Red,
147,16,16,60 Red,
191,16,16,80 Red,
235,16,16,100 Red,
16,60,16,20 Green,
16,104,16,40 Green,
16,147,16,60 Green,
16,191,16,80 Green,
16,235,16,100 Green,
16,16,60,20 Blue,
16,16,104,40 Blue,
16,16,147,60 Blue,
16,16,191,80 Blue,
16,16,235,100 Blue,
16,60,60,20 Cyan,
16,104,104,40 Cyan,
16,147,147,60 Cyan,
16,191,191,80 Cyan,
16,235,235,100 Cyan,
60,16,60,20 Magenta,
104,16,104,40 Magenta,
147,16,147,60 Magenta,
191,16,191,80 Magenta,
235,16,235,100 Magenta,
60,60,16,20 Yellow,
104,104,16,40 Yellow,
147,147,16,60 Yellow,
191,191,16,80 Yellow,
235,235,16,100 Yellow,
